Current Date, Time, X accel, Y accel, Z accel, GPS Longitude, GPS Latitude, GPS Speed
11/16/2017,2:12:35,-0.86084,0.41968,-0.07153,-90.31356,38.65098,0.008
11/16/2017,2:12:35,-0.86938,0.40747,-0.06323,-90.31356,38.65098,0.005
11/16/2017,2:12:35,-0.8772,0.40747,-0.05737,-90.31356,38.65098,0.005
11/16/2017,2:12:35,-0.86182,0.41431,-0.06226,-90.31356,38.65098,0.005
11/16/2017,2:12:35,-0.8894,0.42065,-0.05542,-90.31356,38.65098,0.005
11/16/2017,2:12:36,-0.86133,0.42407,-0.06372,-90.31356,38.65098,0.009
11/16/2017,2:12:36,-0.87158,0.41455,-0.06348,-90.31356,38.65098,0.009
11/16/2017,2:12:36,-0.86182,0.41797,-0.07666,-90.31356,38.65098,0.009
11/16/2017,2:12:36,-0.86938,0.41968,-0.07617,-90.31356,38.65098,0.009
11/16/2017,2:12:37,-0.86792,0.41699,-0.06055,-90.31356,38.65098,0.01
11/16/2017,2:12:37,-0.87305,0.41724,-0.05371,-90.31356,38.65098,0.01
11/16/2017,2:12:37,-0.87036,0.39771,-0.06055,-90.31356,38.65098,0.01
11/16/2017,2:12:37,-0.88574,0.43091,-0.09351,-90.31356,38.65098,0.01
11/16/2017,2:12:38,-0.81348,0.30249,0.14673,-90.31356,38.65098,0.01
11/16/2017,2:12:38,-0.70581,0.37061,0.03149,-90.31356,38.65098,0.016
11/16/2017,2:12:38,-0.97876,0.34595,-0.21851,-90.31356,38.65098,0.016
11/16/2017,2:12:38,-0.96997,0.46631,0.02954,-90.31356,38.65098,0.016
11/16/2017,2:12:38,-0.95264,0.45947,-0.05859,-90.31356,38.65098,0.016
11/16/2017,2:12:39,-0.78247,0.41455,0.17383,-90.31356,38.65098,0.024
11/16/2017,2:12:39,-0.97217,0.44238,-0.04517,-90.31356,38.65098,0.024
11/16/2017,2:12:39,-1.22559,0.34741,0.07349,-90.31356,38.65098,0.024
11/16/2017,2:12:39,-0.9043,0.53076,0.29346,-90.31356,38.65098,0.024
11/16/2017,2:12:40,-0.95996,0.40576,0.09839,-90.31356,38.65098,0.024
11/16/2017,2:12:40,-0.9646,0.40771,0.03833,-90.31356,38.65098,0.161
